0.72272		7.5606		0.49871
1.21815		7.15716		0.56315
1.7598		5.99736		0.48251
2.22494		6.31803		0.53088
2.74338		8.82684		0.67578
3.24592		11.38396	0.77244
3.75512		10.04725	0.7722
4.2546		11.33326	0.85289
4.74899		10.49538	0.82036
5.22261		7.67847		0.80438
5.74558		5.4085		0.69203
6.25914		5.88995		0.69187
6.74169		6.78983		0.82059
7.2546		6.99778		0.86878
7.73328		6.28866		0.82044
8.2566		4.1635		0.78845
8.76356		1.89357		0.54701
9.22773		1.812		0.53105
9.77514		3.04962		0.62751
10.26666	1.02108		0.41838
