60.000	928	48993	194229	64156	10
75.556	680	31694	135033	47211	10
91.111	396	15145	48869	23589	10
106.667	156	7169	25919	11960	10
122.222	45	3600	15362	6374	10
137.778	50	3302	15371	6560	10
153.333	51	3181	15388	6570	10
168.889	7	1221	4431	1635	10
184.444	10	1219	4173	1556	10
200.000	15	1149	3639	1383	10
